序号,按音序排列,检字表,题型,子题型,题目,答案,选项一,选项二,选项三,选项四
2,A,蔼,选择题,2选1,和蔼可亲,蔼,蔼,霭,,
3,A,霭,选择题,2选1,暮霭沉沉,霭,霭,蔼,,
4,A,霭,选择题,2选1,雾霭蒙蒙,霭,霭,蔼,,
6,A,安,选择题,2选1,安居乐业,安,按,安,,
7,A,安,选择题,2选1,安装电话,安,安,按,,
8,A,按,选择题,2选1,按兵不动,按,安,按,,
27,B ,拜,选择题,2选1,甘拜下风,拜,拜,败,,
32,B ,报,选择题,2选1,蓄意报复,报,抱,报,,
33,B ,报,选择题,2选1,投桃报李,报,报,抱,,
34,B ,报,选择题,2选1,以德报怨,报,抱,报,,
35,B ,抱,选择题,2选1,远大抱负,抱,抱,报,,
36,B ,抱,选择题,2选1,抱怨不堪,抱,报,抱,,
44,B ,爆,选择题,2选1,火山爆发,爆,爆,暴,,
52,B ,妣,选择题,2选1,如丧考妣,妣,比,妣,,
55,B ,毖,选择题,2选1,惩前毖后,毖,毖,毙,,
57,B ,毙,选择题,2选1,束手待毙,毙,毖,毙,,
58,B ,毙,选择题,2选1,坐以待毙,毙,毖,毙,,
73,B ,璧,选择题,2选1,完璧归赵,璧,璧,壁,,
94,C,才,选择题,2选1,才华,才,才,材,,
111,C,惨,选择题,2选1,惨无人道,惨,惨,残,,
118,C,层,选择题,2选1,层出不穷,层,层,成,,
119,C,察,选择题,2选1,明察暗访,察,查,察,,
128,C,偿,选择题,2选1,得不偿失,偿,尝,偿,,
135,C,辰,选择题,2选1,良辰美景,辰,晨,辰,,
136,C,辰,选择题,2选1,夜望星辰,辰,晨,辰,,
137,C,辰,选择题,2选1,生辰吉时,辰,晨,辰,,
138,C,晨,选择题,2选1,霜晨,晨,晨,辰,,
139,C,晨,选择题,2选1,暮鼓晨钟,晨,晨,辰,,
140,C,晨,选择题,2选1,晨兴夜寐,晨,晨,辰,,
141,C,晨,选择题,2选1,寥若晨星,晨,晨,辰,,
142,C,称,选择题,2选1,称心如意,称,趁,称,,
150,C,嗤,选择题,2选1,嗤之以鼻,嗤,斥,嗤,,
154,C,充,选择题,2选1,充耳不闻,充,冲,充,,
155,C,冲,选择题,2选1,首当其冲,冲,充,冲,,
171,C,纯,选择题,2选1,炉火纯青,纯,成,纯,,
172,C,纯,选择题,2选1,纯然一色,纯,纯,醇,,
173,C,纯,选择题,2选1,纯粹,纯,纯,醇,,
174,C,纯,选择题,2选1,纯净,纯,纯,醇,,
